Property Type,Beds,Bath,House Sqft,Lot Sqft,Price,Address,City,State,Lat,Lon,Ocean Distance,Gym Distance,Gym Duration,Year Built,Last Updated,Value Change Last 30 Days,Last Sold Date,Last Sold Price,Zestimate,Date Scraped,Id,Url
SingleFamily,3,2.0,1993,7501,"$1,650,000",5515 Ladybird Ln,LA JOLLA,CA,32.814332,-117.260056,1.7023805301875767,3.1 mi,11 mins,1959,01/30/2019,-3382,,,1678559,2019-01-31,16856061,https://www.zillow.com/homedetails/5515-Ladybird-Ln-La-Jolla-CA-92037/16856061_zpid/
SingleFamily,2,2.0,1512,7501,"$1,650,000",5733 Beaumont Ave,LA JOLLA,CA,32.816798,-117.26884,1.2344727077394875,2.5 mi,9 mins,1988,01/30/2019,-36777,04/18/1995,370000,1703602,2019-01-31,16855496,https://www.zillow.com/homedetails/5733-Beaumont-Ave-La-Jolla-CA-92037/16855496_zpid/
SingleFamily,4,4.0,2679,10890,"$1,650,000",2817 Caminito Turnberry,LA JOLLA,CA,32.835715,-117.239686,1.7047903198946892,3.4 mi,12 mins,1980,01/30/2019,-2150,,,1606265,2019-01-31,16852668,https://www.zillow.com/homedetails/2817-Caminito-Turnberry-La-Jolla-CA-92037/16852668_zpid/
SingleFamily,4,4.0,2,7042,"$1,650,000",1380 Caminito Balada,LA JOLLA,CA,32.815626,-117.24962,2.137630269640433,3.7 mi,11 mins,2000,01/30/2019,183028,06/13/2008,1050000,1904869,2019-01-31,16858472,https://www.zillow.com/homedetails/1380-Caminito-Balada-La-Jolla-CA-92037/16858472_zpid/
SingleFamily,5,4.0,2730,10890,"$1,674,888",5645 Soledad Mountain Rd,LA JOLLA,CA,32.823628,-117.235295,2.4479585224870966,3.6 mi,10 mins,1988,01/30/2019,-11314,04/13/2018,960000,1571741,2019-01-31,16857071,https://www.zillow.com/homedetails/5645-Soledad-Mountain-Rd-La-Jolla-CA-92037/16857071_zpid/
Condominium,4,3.0,2694,3998,"$1,675,000",5423 Caminito Bayo,LA JOLLA,CA,32.814382,-117.252584,2.0385087744591477,3.9 mi,13 mins,2011,01/30/2019,-115750,06/06/2016,1440000,1628558,2019-01-31,81962138,https://www.zillow.com/homedetails/5423-Caminito-Bayo-La-Jolla-CA-92037/81962138_zpid/
SingleFamily,5,4.0,1400,3998,"$1,689,000",521 Arenas St,LA JOLLA,CA,32.83495,-117.277071,0.2635903218775881,0.9 mi,4 mins,1973,01/30/2019,8604,05/10/2005,1200000,1837870,2019-01-31,16849480,https://www.zillow.com/homedetails/521-Arenas-St-La-Jolla-CA-92037/16849480_zpid/
Townhouse,3,3.0,2428,7501,"$1,695,000",5412 Caminito Bayo,LA JOLLA,CA,32.814328,-117.253142,2.0141226953603906,4.0 mi,13 mins,2000,01/30/2019,-22299,02/25/2016,1350000,1608885,2019-01-31,16858530,https://www.zillow.com/homedetails/5412-Caminito-Bayo-La-Jolla-CA-92037/16858530_zpid/
SingleFamily,4,4.5,2308,3998,"$1,695,000",5620 La Jolla Blvd,LA JOLLA,CA,32.814138,-117.2701,1.349682822704337,2.5 mi,9 mins,1990,01/30/2019,-15631,06/28/2013,1290000,1796746,2019-01-31,55326783,https://www.zillow.com/homedetails/5620-La-Jolla-Blvd-La-Jolla-CA-92037/55326783_zpid/
SingleFamily,3,3.0,2295,12000,"$1,695,000",8356 Sugarman Dr,LA JOLLA,CA,32.858334,-117.238814,1.4190171331630952,3.7 mi,11 mins,1961,01/30/2019,147288,09/07/2018,2168000,1758787,2019-01-31,16840238,https://www.zillow.com/homedetails/8356-Sugarman-Dr-La-Jolla-CA-92037/16840238_zpid/
Condominium,2,2.0,1481,55067,"$1,725,000",100 Coast Blvd UNIT 204,LA JOLLA,CA,32.839031,-117.281031,0.050808199673163267,0.6 mi,3 mins,1976,01/30/2019,-68913,11/24/2009,1582000,1621682,2019-01-31,16848862,https://www.zillow.com/homedetails/100-Coast-Blvd-UNIT-204-La-Jolla-CA-92037/16848862_zpid/
