Property Type,Beds,Bath,House Sqft,Lot Sqft,Price,Address,City,State,Lat,Lon,Ocean Distance,Year Built,Last Updated,Value Change Last 30 Days,Last Sold Date,Last Sold Price,Zestimate,Date Scraped,Id,Url
SingleFamily,4,3,2760,10890,"$2,595,000 ",2531 Via Viesta,LA JOLLA,CA,32.844492,-117.250775,0.822349795,1971,1/20/2019,-137277,5/15/1991,650000,2353806,1/21/2019,16851439,https://www.zillow.com/homedetails/2531-Via-Viesta-La-Jolla-CA-92037/16851439_zpid/
SingleFamily,4,4,2565,4589,"$2,645,000 ",5621 Beaumont Ave,LA JOLLA,CA,32.814783,-117.267598,1.389584556,2018,1/20/2019,-5992,5/4/2018,2500000,2521689,1/21/2019,16855694,https://www.zillow.com/homedetails/5621-Beaumont-Ave-La-Jolla-CA-92037/16855694_zpid/
SingleFamily,3,2,1650,5324,"$2,650,000 ",8425 Paseo Del Ocaso,LA JOLLA,CA,32.859609,-117.254169,0.706152851,1941,1/20/2019,448,4/25/2016,1680000,2502549,1/21/2019,16838445,https://www.zillow.com/homedetails/8425-Paseo-Del-Ocaso-La-Jolla-CA-92037/16838445_zpid/
SingleFamily,5,4,4145,31498,"$2,695,000 ",1032 Skylark Dr,LA JOLLA,CA,32.817557,-117.261079,1.511480457,1962,1/20/2019,-50837,6/13/2014,1150000,2916773,1/21/2019,16855837,https://www.zillow.com/homedetails/1032-Skylark-Dr-La-Jolla-CA-92037/16855837_zpid/
SingleFamily,3,4,2115,7501,"$2,695,000 ",5606 Dolphin Pl,LA JOLLA,CA,32.814042,-117.271106,1.328095586,1939,1/20/2019,-47592,12/1/2009,1150000,2384038,1/21/2019,16855626,https://www.zillow.com/homedetails/5606-Dolphin-Pl-La-Jolla-CA-92037/16855626_zpid/
SingleFamily,3,3,2344,4791,"$2,698,000 ",5648 Linda Rosa Ave,LA JOLLA,CA,32.815848,-117.264625,1.441072772,2014,1/20/2019,-180357,5/1/2015,2500000,2912513,1/21/2019,16855774,https://www.zillow.com/homedetails/5648-Linda-Rosa-Ave-La-Jolla-CA-92037/16855774_zpid/
SingleFamily,4,5,3096,4591,"$2,698,000 ",374 Bonair St,LA JOLLA,CA,32.830815,-117.278134,0.193411806,2004,1/20/2019,-22721,5/12/2017,2455000,2625482,1/21/2019,63519658,https://www.zillow.com/homedetails/374-Bonair-St-La-Jolla-CA-92037/63519658_zpid/
SingleFamily,3,3,2515,7501,"$2,750,000 ",1299 Virginia Way,LA JOLLA,CA,32.843859,-117.268839,0.376701194,1929,1/20/2019,-22569,12/31/2007,2012000,2607696,1/21/2019,16848753,https://www.zillow.com/homedetails/1299-Virginia-Way-La-Jolla-CA-92037/16848753_zpid/
VacantResidentialLand,,,,10890,"$2,795,000 ",6389 Castejon Dr LOT 86,La Jolla,CA,32.832544,-117.249273,1.454286819,,1/1/1970,,,,,1/21/2019,2086933775,https://www.zillow.com/homedetails/6389-Castejon-Dr-LOT-86-La-Jolla-CA-92037/2086933775_zpid/
SingleFamily,6,6,6608,10890,"$2,795,000 ",6389 Castejon Dr,LA JOLLA,CA,32.832544,-117.249273,1.454286819,2019,1/20/2019,988551,7/2/2018,1760000,4021439,1/21/2019,16851849,https://www.zillow.com/homedetails/6389-Castejon-Dr-La-Jolla-CA-92037/16851849_zpid/
