title,bedrooms,bathrooms,sqft,price,bedrooms 2,price 2,address,city,state,lat,lon,id,date scraped,url
For Rent,2,,,"$5,000",3,"$10,000",8263 Camino Del Oro, La Jolla, CA,32855244,-117256244,32.855244--117.256244,2019-01-20,"https://www.zillow.com/b/8263-Camino-Del-Oro-LA-JOLLA-CA/32.855244,-117.256244_ll/"
House for rent,3,2,"2,200","$5,200",,,952 La Jolla Rancho Rd, La Jolla, CA,32819816,-117263876,16855330,2019-01-20,https://www.zillow.com/homedetails/952-La-Jolla-Rancho-Rd-La-Jolla-CA-92037/16855330_zpid/
House for rent,4,2.5,"1,500","$5,200",,,6425 Electric Ave, La Jolla, CA,32826088,-117275622,2109444573,2019-01-20,https://www.zillow.com/homedetails/6425-Electric-Ave-La-Jolla-CA-92037/2109444573_zpid/
House for rent,4,3,"2,053","$5,400",,,516 Bonair Pl, La Jolla, CA,32830118,-117275662,61239764,2019-01-20,https://www.zillow.com/homedetails/516-Bonair-Pl-La-Jolla-CA-92037/61239764_zpid/
House for rent,3,2.5,"2,186","$5,450",,,7556 Pepita Way, La Jolla, CA,32843009,-117267799,16849036,2019-01-20,https://www.zillow.com/homedetails/7556-Pepita-Way-La-Jolla-CA-92037/16849036_zpid/
House for rent,4,2.5,"2,007","$5,495",,,2826 Palomino Cir, La Jolla, CA,32827796,-117238283,16856942,2019-01-20,https://www.zillow.com/homedetails/2826-Palomino-Cir-La-Jolla-CA-92037/16856942_zpid/
House for rent,2,2,"1,190","$5,500",,,307 Prospect St, La Jolla, CA,32840350,-117279906,16848627,2019-01-20,https://www.zillow.com/homedetails/307-Prospect-St-La-Jolla-CA-92037/16848627_zpid/
Condo for rent,2,2,"1,469","$5,575",,,320 Prospect St, La Jolla, CA,32840955,-117280285,16848576,2019-01-20,https://www.zillow.com/homedetails/320-Prospect-St-La-Jolla-CA-92037/16848576_zpid/
House for rent,3,2,"1,748","$5,600",,,902 Newkirk Dr, La Jolla, CA,32824390,-117269680,16854807,2019-01-20,https://www.zillow.com/homedetails/902-Newkirk-Dr-La-Jolla-CA-92037/16854807_zpid/
House for rent,2,2,"1,200","$5,800",,,1657 Kearsarge Rd, La Jolla, CA,32845551,-117263048,16848465,2019-01-20,https://www.zillow.com/homedetails/1657-Kearsarge-Rd-La-Jolla-CA-92037/16848465_zpid/
